"year","value","scenario","variable"
"1995",0,"1p5","Global Mean Temperature Change (degC)"
"1996",0.0965114539679459,"1p5","Global Mean Temperature Change (degC)"
"1997",0.135595394230895,"1p5","Global Mean Temperature Change (degC)"
"1998",0.176773822572127,"1p5","Global Mean Temperature Change (degC)"
"1999",0.242666351468285,"1p5","Global Mean Temperature Change (degC)"
"2000",0.309244731902986,"1p5","Global Mean Temperature Change (degC)"
"2001",0.355434718307534,"1p5","Global Mean Temperature Change (degC)"
"2002",0.381089990766656,"1p5","Global Mean Temperature Change (degC)"
"2003",0.40155213707604,"1p5","Global Mean Temperature Change (degC)"
"2004",0.411889214568551,"1p5","Global Mean Temperature Change (degC)"
"2005",0.417759955676737,"1p5","Global Mean Temperature Change (degC)"
"2006",0.431675432631932,"1p5","Global Mean Temperature Change (degC)"
"2007",0.445167072731899,"1p5","Global Mean Temperature Change (degC)"
"2008",0.482640235632978,"1p5","Global Mean Temperature Change (degC)"
"2009",0.520154268889358,"1p5","Global Mean Temperature Change (degC)"
"2010",0.536954314501819,"1p5","Global Mean Temperature Change (degC)"
"2011",0.573166293243498,"1p5","Global Mean Temperature Change (degC)"
"2012",0.60736865927959,"1p5","Global Mean Temperature Change (degC)"
"2013",0.651961608634339,"1p5","Global Mean Temperature Change (degC)"
"2014",0.689204612699029,"1p5","Global Mean Temperature Change (degC)"
"2015",0.720749281720453,"1p5","Global Mean Temperature Change (degC)"
"2016",0.750634300704749,"1p5","Global Mean Temperature Change (degC)"
"2017",0.777215164349565,"1p5","Global Mean Temperature Change (degC)"
"2018",0.805383142503022,"1p5","Global Mean Temperature Change (degC)"
"2019",0.834720663161955,"1p5","Global Mean Temperature Change (degC)"
"2020",0.8672092612734,"1p5","Global Mean Temperature Change (degC)"
"2021",0.903607298086351,"1p5","Global Mean Temperature Change (degC)"
"2022",0.945277692674055,"1p5","Global Mean Temperature Change (degC)"
"2023",0.987872457076374,"1p5","Global Mean Temperature Change (degC)"
"2024",1.02913149089224,"1p5","Global Mean Temperature Change (degC)"
"2025",1.06449361572122,"1p5","Global Mean Temperature Change (degC)"
"2026",1.09474917520192,"1p5","Global Mean Temperature Change (degC)"
"2027",1.11682709640045,"1p5","Global Mean Temperature Change (degC)"
"2028",1.14313635295114,"1p5","Global Mean Temperature Change (degC)"
"2029",1.16718929072474,"1p5","Global Mean Temperature Change (degC)"
"2030",1.18667385820997,"1p5","Global Mean Temperature Change (degC)"
"2031",1.2059729028808,"1p5","Global Mean Temperature Change (degC)"
"2032",1.2301892713954,"1p5","Global Mean Temperature Change (degC)"
"2033",1.25241609508872,"1p5","Global Mean Temperature Change (degC)"
"2034",1.28016876704703,"1p5","Global Mean Temperature Change (degC)"
"2035",1.31148230014161,"1p5","Global Mean Temperature Change (degC)"
"2036",1.33911595523042,"1p5","Global Mean Temperature Change (degC)"
"2037",1.36024833797267,"1p5","Global Mean Temperature Change (degC)"
"2038",1.38196972809819,"1p5","Global Mean Temperature Change (degC)"
"2039",1.39667121435683,"1p5","Global Mean Temperature Change (degC)"
"2040",1.41115207129325,"1p5","Global Mean Temperature Change (degC)"
"2041",1.42186863282115,"1p5","Global Mean Temperature Change (degC)"
"2042",1.4332925855533,"1p5","Global Mean Temperature Change (degC)"
"2043",1.44792112621782,"1p5","Global Mean Temperature Change (degC)"
"2044",1.4624277731187,"1p5","Global Mean Temperature Change (degC)"
"2045",1.47824639762065,"1p5","Global Mean Temperature Change (degC)"
"2046",1.49612219819226,"1p5","Global Mean Temperature Change (degC)"
"2047",1.51815480166619,"1p5","Global Mean Temperature Change (degC)"
"2048",1.53399946009424,"1p5","Global Mean Temperature Change (degC)"
"2049",1.54977005807241,"1p5","Global Mean Temperature Change (degC)"
"2050",1.55732804047848,"1p5","Global Mean Temperature Change (degC)"
"2051",1.56030129100302,"1p5","Global Mean Temperature Change (degC)"
"2052",1.56358109150875,"1p5","Global Mean Temperature Change (degC)"
"2053",1.5668641897299,"1p5","Global Mean Temperature Change (degC)"
"2054",1.571057816424,"1p5","Global Mean Temperature Change (degC)"
"2055",1.57768870769859,"1p5","Global Mean Temperature Change (degC)"
"2056",1.58709771525001,"1p5","Global Mean Temperature Change (degC)"
"2057",1.59790537282418,"1p5","Global Mean Temperature Change (degC)"
"2058",1.60518804863651,"1p5","Global Mean Temperature Change (degC)"
"2059",1.61374275587384,"1p5","Global Mean Temperature Change (degC)"
"2060",1.61676885428585,"1p5","Global Mean Temperature Change (degC)"
"2061",1.61554365703832,"1p5","Global Mean Temperature Change (degC)"
"2062",1.61151556334821,"1p5","Global Mean Temperature Change (degC)"
"2063",1.61102467019249,"1p5","Global Mean Temperature Change (degC)"
"2064",1.60966884927094,"1p5","Global Mean Temperature Change (degC)"
"2065",1.60681450918117,"1p5","Global Mean Temperature Change (degC)"
"2066",1.60589829010957,"1p5","Global Mean Temperature Change (degC)"
"2067",1.6105444197794,"1p5","Global Mean Temperature Change (degC)"
"2068",1.61747905528433,"1p5","Global Mean Temperature Change (degC)"
"2069",1.62213761639463,"1p5","Global Mean Temperature Change (degC)"
"2070",1.62212609555657,"1p5","Global Mean Temperature Change (degC)"
"2071",1.61499017050886,"1p5","Global Mean Temperature Change (degC)"
"2072",1.60538004314553,"1p5","Global Mean Temperature Change (degC)"
"2073",1.59696277044124,"1p5","Global Mean Temperature Change (degC)"
"2074",1.58698325044688,"1p5","Global Mean Temperature Change (degC)"
"2075",1.57816191019456,"1p5","Global Mean Temperature Change (degC)"
"2076",1.56830190572721,"1p5","Global Mean Temperature Change (degC)"
"2077",1.55999741488509,"1p5","Global Mean Temperature Change (degC)"
"2078",1.55393480363513,"1p5","Global Mean Temperature Change (degC)"
"2079",1.55277592768156,"1p5","Global Mean Temperature Change (degC)"
"2080",1.55231258461474,"1p5","Global Mean Temperature Change (degC)"
"2081",1.54874489150136,"1p5","Global Mean Temperature Change (degC)"
"2082",1.54035026912842,"1p5","Global Mean Temperature Change (degC)"
"2083",1.52962961151857,"1p5","Global Mean Temperature Change (degC)"
"2084",1.51435682448489,"1p5","Global Mean Temperature Change (degC)"
