"year","value","variable","scenario"
"1995",0,"Global Mean Temperature Change (degC)","Reference"
"1996",0.0965114540422154,"Global Mean Temperature Change (degC)","Reference"
"1997",0.135595394255239,"Global Mean Temperature Change (degC)","Reference"
"1998",0.176773824882391,"Global Mean Temperature Change (degC)","Reference"
"1999",0.242666351322932,"Global Mean Temperature Change (degC)","Reference"
"2000",0.309244731231383,"Global Mean Temperature Change (degC)","Reference"
"2001",0.355434718059095,"Global Mean Temperature Change (degC)","Reference"
"2002",0.381089990940228,"Global Mean Temperature Change (degC)","Reference"
"2003",0.401552136185701,"Global Mean Temperature Change (degC)","Reference"
"2004",0.411889213700514,"Global Mean Temperature Change (degC)","Reference"
"2005",0.417759955122489,"Global Mean Temperature Change (degC)","Reference"
"2006",0.431675432253857,"Global Mean Temperature Change (degC)","Reference"
"2007",0.445167072207868,"Global Mean Temperature Change (degC)","Reference"
"2008",0.482640234148513,"Global Mean Temperature Change (degC)","Reference"
"2009",0.520165603939543,"Global Mean Temperature Change (degC)","Reference"
"2010",0.539700475583265,"Global Mean Temperature Change (degC)","Reference"
"2011",0.577497188301659,"Global Mean Temperature Change (degC)","Reference"
"2012",0.613437487164635,"Global Mean Temperature Change (degC)","Reference"
"2013",0.659676997399595,"Global Mean Temperature Change (degC)","Reference"
"2014",0.695343674578848,"Global Mean Temperature Change (degC)","Reference"
"2015",0.72508089943805,"Global Mean Temperature Change (degC)","Reference"
"2016",0.750484422043195,"Global Mean Temperature Change (degC)","Reference"
"2017",0.77290925148709,"Global Mean Temperature Change (degC)","Reference"
"2018",0.802235437568477,"Global Mean Temperature Change (degC)","Reference"
"2019",0.832088614410078,"Global Mean Temperature Change (degC)","Reference"
"2020",0.8685680812278,"Global Mean Temperature Change (degC)","Reference"
"2021",0.906507257986035,"Global Mean Temperature Change (degC)","Reference"
"2022",0.948437708828997,"Global Mean Temperature Change (degC)","Reference"
"2023",0.997561300562051,"Global Mean Temperature Change (degC)","Reference"
"2024",1.04260780697234,"Global Mean Temperature Change (degC)","Reference"
"2025",1.08324875823944,"Global Mean Temperature Change (degC)","Reference"
