"year","value","scenario","variable"
"2000",0.309244731902986,"Paris","Global Mean Temperature Change (degC)"
"2001",0.355434718307534,"Paris","Global Mean Temperature Change (degC)"
"2002",0.381089990766656,"Paris","Global Mean Temperature Change (degC)"
"2003",0.40155213707604,"Paris","Global Mean Temperature Change (degC)"
"2004",0.411889214568551,"Paris","Global Mean Temperature Change (degC)"
"2005",0.417759955676737,"Paris","Global Mean Temperature Change (degC)"
"2006",0.431675432631932,"Paris","Global Mean Temperature Change (degC)"
"2007",0.445167072731899,"Paris","Global Mean Temperature Change (degC)"
"2008",0.482640235632978,"Paris","Global Mean Temperature Change (degC)"
"2009",0.520154268889358,"Paris","Global Mean Temperature Change (degC)"
"2010",0.536954314501819,"Paris","Global Mean Temperature Change (degC)"
"2011",0.573166293243498,"Paris","Global Mean Temperature Change (degC)"
"2012",0.607368668759471,"Paris","Global Mean Temperature Change (degC)"
"2013",0.651961723206414,"Paris","Global Mean Temperature Change (degC)"
"2014",0.689205053208319,"Paris","Global Mean Temperature Change (degC)"
"2015",0.720787526515246,"Paris","Global Mean Temperature Change (degC)"
"2016",0.749483548100531,"Paris","Global Mean Temperature Change (degC)"
"2017",0.774808134360394,"Paris","Global Mean Temperature Change (degC)"
"2018",0.802500850808693,"Paris","Global Mean Temperature Change (degC)"
"2019",0.830321251808593,"Paris","Global Mean Temperature Change (degC)"
"2020",0.862208115838386,"Paris","Global Mean Temperature Change (degC)"
"2021",0.899807983389523,"Paris","Global Mean Temperature Change (degC)"
"2022",0.942350846774732,"Paris","Global Mean Temperature Change (degC)"
"2023",0.984466741073372,"Paris","Global Mean Temperature Change (degC)"
"2024",1.0267268895157,"Paris","Global Mean Temperature Change (degC)"
"2025",1.06523930620976,"Paris","Global Mean Temperature Change (degC)"
"2026",1.09503189431841,"Paris","Global Mean Temperature Change (degC)"
"2027",1.12259733372672,"Paris","Global Mean Temperature Change (degC)"
"2028",1.14898367096825,"Paris","Global Mean Temperature Change (degC)"
"2029",1.17962791093608,"Paris","Global Mean Temperature Change (degC)"
"2030",1.20763671385855,"Paris","Global Mean Temperature Change (degC)"
"2031",1.23402375803443,"Paris","Global Mean Temperature Change (degC)"
"2032",1.26394287771391,"Paris","Global Mean Temperature Change (degC)"
"2033",1.29561483903251,"Paris","Global Mean Temperature Change (degC)"
"2034",1.33332399153029,"Paris","Global Mean Temperature Change (degC)"
"2035",1.367261945884,"Paris","Global Mean Temperature Change (degC)"
"2036",1.40088029412732,"Paris","Global Mean Temperature Change (degC)"
"2037",1.42959869277868,"Paris","Global Mean Temperature Change (degC)"
"2038",1.45828540078749,"Paris","Global Mean Temperature Change (degC)"
