"year","value","scenario"
1997,0.00496999999999992,"RCP45"
1998,0.0759699999999999,"RCP45"
1999,0.13277,"RCP45"
2000,0.20377,"RCP45"
2001,0.24637,"RCP45"
2002,0.30317,"RCP45"
2003,0.33157,"RCP45"
2004,0.34577,"RCP45"
2005,0.35997,"RCP45"
2006,0.37417,"RCP45"
2007,0.38837,"RCP45"
2008,0.40257,"RCP45"
2009,0.41677,"RCP45"
2010,0.44517,"RCP45"
2011,0.47357,"RCP45"
2012,0.51617,"RCP45"
2013,0.54457,"RCP45"
2014,0.58717,"RCP45"
2015,0.60137,"RCP45"
2016,0.61557,"RCP45"
2017,0.62977,"RCP45"
2018,0.64397,"RCP45"
2019,0.67237,"RCP45"
2020,0.68657,"RCP45"
2021,0.72917,"RCP45"
2022,0.75757,"RCP45"
2023,0.80017,"RCP45"
2024,0.84277,"RCP45"
2025,0.87117,"RCP45"
2026,0.89957,"RCP45"
2027,0.92797,"RCP45"
2028,0.95637,"RCP45"
2029,0.97057,"RCP45"
2030,0.99897,"RCP45"
2031,1.02737,"RCP45"
2032,1.04157,"RCP45"
2033,1.06997,"RCP45"
2034,1.11257,"RCP45"
2035,1.15517,"RCP45"
2036,1.18357,"RCP45"
2037,1.22617,"RCP45"
2038,1.25457,"RCP45"
2039,1.28297,"RCP45"
2040,1.29717,"RCP45"
2041,1.32557,"RCP45"
2042,1.33977,"RCP45"
2043,1.36817,"RCP45"
2044,1.39657,"RCP45"
2045,1.42497,"RCP45"
2046,1.46757,"RCP45"
2047,1.49597,"RCP45"
2048,1.53857,"RCP45"
2049,1.56697,"RCP45"
2050,1.59537,"RCP45"
2051,1.60957,"RCP45"
2052,1.63797,"RCP45"
2053,1.65217,"RCP45"
2054,1.66637,"RCP45"
2055,1.69477,"RCP45"
2056,1.72317,"RCP45"
2057,1.75157,"RCP45"
2058,1.76577,"RCP45"
2059,1.79417,"RCP45"
2060,1.82257,"RCP45"
2061,1.83677,"RCP45"
2062,1.85097,"RCP45"
2063,1.86517,"RCP45"
2064,1.87937,"RCP45"
2065,1.89357,"RCP45"
2066,1.90777,"RCP45"
2067,1.93617,"RCP45"
2068,1.96457,"RCP45"
2069,1.97877,"RCP45"
2070,2.00717,"RCP45"
2071,2.00717,"RCP45"
2072,2.02137,"RCP45"
2073,2.03557,"RCP45"
2074,2.03557,"RCP45"
2075,2.04977,"RCP45"
2076,2.04977,"RCP45"
2077,2.06397,"RCP45"
2078,2.07817,"RCP45"
2079,2.09237,"RCP45"
2080,2.10657,"RCP45"
2081,2.12077,"RCP45"
2082,2.13497,"RCP45"
2083,2.13497,"RCP45"
2084,2.14917,"RCP45"
2085,2.14917,"RCP45"
2086,2.14917,"RCP45"
2087,2.14917,"RCP45"
2088,2.16337,"RCP45"
2089,2.16337,"RCP45"
2090,2.17757,"RCP45"
2091,2.19177,"RCP45"
2092,2.22017,"RCP45"
2093,2.23437,"RCP45"
2094,2.23437,"RCP45"
2095,2.24857,"RCP45"
2096,2.24857,"RCP45"
2097,2.24857,"RCP45"
2098,2.26277,"RCP45"
2099,2.26277,"RCP45"
2100,2.27697,"RCP45"
