"sector","impactType","physicalmeasure","year","physical_impacts","annual_impacts","scenario"
"Air Quality","Ozone","Premature Mortality",2010,167.90943865893,1.64551249885752,"RCP26"
"Air Quality","Ozone","Premature Mortality",2011,179.902042933056,1.77189750466237,"RCP26"
"Air Quality","Ozone","Premature Mortality",2012,197.481017064676,1.95452796967625,"RCP26"
"Air Quality","Ozone","Premature Mortality",2013,215.290398098162,2.14089629518863,"RCP26"
"Air Quality","Ozone","Premature Mortality",2014,227.820618476641,2.27594339804172,"RCP26"
"Air Quality","Ozone","Premature Mortality",2015,234.956474749182,2.35775567353082,"RCP26"
"Air Quality","Ozone","Premature Mortality",2016,241.994465471004,2.44730425364315,"RCP26"
"Air Quality","Ozone","Premature Mortality",2017,249.10119999973,2.53815461343887,"RCP26"
"Air Quality","Ozone","Premature Mortality",2018,261.927762752898,2.68830205595202,"RCP26"
"Air Quality","Ozone","Premature Mortality",2019,269.206356798883,2.78250659596888,"RCP26"
"Air Quality","Ozone","Premature Mortality",2020,276.553694651772,2.87799427838543,"RCP26"
"Air Quality","Ozone","Premature Mortality",2021,289.696773326852,3.0354780778876,"RCP26"
"Air Quality","Ozone","Premature Mortality",2022,302.97517849458,3.19575798919208,"RCP26"
"Air Quality","Ozone","Premature Mortality",2023,322.210233248882,3.42061607080726,"RCP26"
"Air Quality","Ozone","Premature Mortality",2024,335.793123025066,3.58718536166608,"RCP26"
"Air Quality","Ozone","Premature Mortality",2025,349.511339293897,3.75649622989647,"RCP26"
"Air Quality","Ozone","Premature Mortality",2026,357.243399309865,3.8649473230898,"RCP26"
"Air Quality","Ozone","Premature Mortality",2027,365.036538817986,3.97459632495228,"RCP26"
"Air Quality","Ozone","Premature Mortality",2028,372.89075781826,4.08544113829047,"RCP26"
"Air Quality","Ozone","Premature Mortality",2029,380.806056310687,4.19747972001137,"RCP26"
"Air Quality","Ozone","Premature Mortality",2030,388.782434295268,4.31071008068276,"RCP26"
"Air Quality","Ozone","Premature Mortality",2031,396.52124647436,4.42342981817784,"RCP26"
"Air Quality","Ozone","Premature Mortality",2032,398.21837358282,4.46886513114949,"RCP26"
"Air Quality","Ozone","Premature Mortality",2033,406.035095193058,4.58308993577453,"RCP26"
"Air Quality","Ozone","Premature Mortality",2034,420.049320736222,4.76817470495925,"RCP26"
"Air Quality","Ozone","Premature Mortality",2035,434.167425520914,4.9557212606098,"RCP26"
"Air Quality","Ozone","Premature Mortality",2036,442.971430834609,5.09118704668737,"RCP26"
"Air Quality","Ozone","Premature Mortality",2037,451.9083430355,5.22889307478497,"RCP26"
"Air Quality","Ozone","Premature Mortality",2038,460.897460616021,5.36791370926298,"RCP26"
"Air Quality","Ozone","Premature Mortality",2039,469.938783576172,5.5082445935503,"RCP26"
"Air Quality","Ozone","Premature Mortality",2040,479.032311915952,5.649881494515,"RCP26"
"Air Quality","Ozone","Premature Mortality",2041,480.53933664426,5.70153376808338,"RCP26"
