"","sector","variant","impactYear","impactType","region","model_type","model","year","driverValue","driverUnit","driverType","includeaggregate","sectorprimary","gdp_usd","national_pop","gdp_percap","reg_pop","annual_impacts"
"1","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2010,-0.3,"degrees Celsius","Temperature",1,1,16693671681957.2,306675006,54434.4056585988,60760771,NA
"2","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2011,-0.23,"degrees Celsius","Temperature",1,1,17046794484714.4,309263150.412862,55120.6778497767,61114956.77556,NA
"3","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2012,-0.16,"degrees Celsius","Temperature",1,1,17399917287471.6,311851294.825724,55795.5588967345,61469142.55112,NA
"4","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2013,-0.0899999999999999,"degrees Celsius","Temperature",1,1,17753040090228.8,314439439.238586,56459.3300802778,61823328.3266801,NA
"5","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2014,-0.0199999999999999,"degrees Celsius","Temperature",1,1,18106162892985.9,317027583.651448,57112.2634959504,62177514.1022401,NA
"6","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2015,0.05,"degrees Celsius","Temperature",1,1,18459285695743.1,319615728.064309,57754.6224259306,62531699.8778001,NA
"7","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2016,0.12,"degrees Celsius","Temperature",1,1,18958714228021.1,321954318.948342,58886.3485041897,62844780.5666317,NA
"8","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2017,0.19,"degrees Celsius","Temperature",1,1,19458142760299.1,324292909.832375,60001.7520283034,63157861.2554632,NA
"9","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2018,0.26,"degrees Celsius","Temperature",1,1,19957571292577.1,326631500.716407,61101.1835931433,63470941.9442947,NA
"10","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2019,0.33,"degrees Celsius","Temperature",1,1,20456999824855.1,328970091.60044,62184.9838243099,63784022.6331263,NA
"11","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2020,0.4,"degrees Celsius","Temperature",1,1,20956428357133.1,331308682.484472,63253.4837299813,64097103.3219578,NA
"12","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2021,0.47,"degrees Celsius","Temperature",1,1,21465660660476.6,333601009.719894,64345.3108205519,64408851.8543063,NA
"13","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2022,0.54,"degrees Celsius","Temperature",1,1,21974892963820,335893336.955317,65422.2354126164,64720600.3866548,NA
"14","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2023,0.61,"degrees Celsius","Temperature",1,1,22484125267163.5,338185664.190739,66484.5605474344,65032348.9190033,NA
"15","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2024,0.68,"degrees Celsius","Temperature",1,1,22993357570507,340477991.426162,67532.5811051534,65344097.4513518,NA
"16","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2025,0.75,"degrees Celsius","Temperature",1,1,23502589873850.4,342770318.661584,68566.5840777027,65655845.9837003,NA
"17","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2026,0.82,"degrees Celsius","Temperature",1,1,24040302568752.5,344892077.498275,69703.8411062742,65922225.7291477,NA
"18","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2027,0.89,"degrees Celsius","Temperature",1,1,24578015263654.6,347013836.334965,70827.1909939924,66188605.4745951,NA
"19","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2028,0.96,"degrees Celsius","Temperature",1,1,25115727958556.7,349135595.171656,71936.8872893304,66454985.2200426,NA
"20","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2029,1.03,"degrees Celsius","Temperature",1,1,25653440653458.8,351257354.008346,73033.1774145551,66721364.96549,NA
"21","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2030,1.1,"degrees Celsius","Temperature",1,1,26191153348360.8,353379112.845037,74116.3028496427,66987744.7109374,NA
"22","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2031,1.17,"degrees Celsius","Temperature",1,1,26735874599570.9,355266619.249009,75255.8026872533,67187211.5098459,NA
"23","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2032,1.24,"degrees Celsius","Temperature",1,1,27280595850781,357154125.65298,76383.2583507309,67386678.3087545,NA
"24","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2033,1.31,"degrees Celsius","Temperature",1,1,27825317101991.1,359041632.056952,77498.859791216,67586145.107663,NA
"25","Vibrio","N/A","Interpolation","all","Midwest","GCM","Average",2034,1.38,"degrees Celsius","Temperature",1,1,28370038353201.2,360929138.460924,78602.792986393,67785611.9065715,NA
